[08Jul2025 00:09:51.606] [Server thread/INFO] [Easy NPC/]: Opening menu 214e7665-ca16-4a9a-ab37-fe8e3c51a273 for npc 8ffdd641-3a89-4436-83cf-d57f4c86e0db and player ServerPlayer['CesarDFA27'/9323, l='ServerLevel[world]', x=-1278.24, y=100.00, z=-375.63] with ConfigurationMenu.MAIN[translation{key='text.easy_npc.config.main.title', args=[Cocinero]}]
[08Jul2025 00:11:33.861] [Server thread/INFO] [Easy NPC/]: Opening menu fd7130a0-ca3d-42d7-97d0-5841bd014a01 for npc 8ffdd641-3a89-4436-83cf-d57f4c86e0db and player ServerPlayer['CesarDFA27'/9323, l='ServerLevel[world]', x=-1277.34, y=100.06, z=-371.63] with ConfigurationMenu.MAIN[translation{key='text.easy_npc.config.main.title', args=[Cocinero]}]
[08Jul2025 00:11:35.413] [Server thread/INFO] [Easy NPC/]: Opening menu d76ed44c-9425-4a05-95ea-2d1bab62d945 for npc 8ffdd641-3a89-4436-83cf-d57f4c86e0db and player ServerPlayer['CesarDFA27'/9323, l='ServerLevel[world]', x=-1277.34, y=100.06, z=-371.63] with ConfigurationMenu.DEFAULT_POSITION[translation{key='text.easy_npc.config.default_position.title', args=[Cocinero]}]
[08Jul2025 00:12:08.849] [Server thread/INFO] [Easy NPC/]: Opening menu 5f87a17f-ada7-4d54-ad79-d1c7a61b2590 for npc b66482b1-7b7b-4ab7-b97e-c8855cc4adfa and player ServerPlayer['CesarDFA27'/9323, l='ServerLevel[world]', x=-1268.20, y=122.00, z=-337.54] with ConfigurationMenu.MAIN[translation{key='text.easy_npc.config.main.title', args=[entity.easy_npc.]}]
[08Jul2025 00:12:11.057] [Server thread/INFO] [Easy NPC/]: Opening menu 9bda69f4-cbc0-4451-b37f-83b1c41e58b9 for npc b66482b1-7b7b-4ab7-b97e-c8855cc4adfa and player ServerPlayer['CesarDFA27'/9323, l='ServerLevel[world]', x=-1268.20, y=122.00, z=-337.54] with ConfigurationMenu.DEFAULT_POSITION[translation{key='text.easy_npc.config.default_position.title', args=[entity.easy_npc.]}]
[08Jul2025 00:12:17.749] [Server thread/INFO] [Easy NPC/]: Opening menu ee06ab6e-150e-407d-9284-4e9d985dca0a for npc b66482b1-7b7b-4ab7-b97e-c8855cc4adfa and player ServerPlayer['CesarDFA27'/9323, l='ServerLevel[world]', x=-1269.84, y=122.00, z=-336.00] with ConfigurationMenu.MAIN[translation{key='text.easy_npc.config.main.title', args=[entity.easy_npc.]}]
[08Jul2025 00:12:18.048] [Server thread/INFO] [Easy NPC/]: Opening menu a32fb45e-4742-4809-9061-68de6900c38e for npc b66482b1-7b7b-4ab7-b97e-c8855cc4adfa and player ServerPlayer['CesarDFA27'/9323, l='ServerLevel[world]', x=-1269.84, y=122.00, z=-336.00] with ConfigurationMenu.MAIN[translation{key='text.easy_npc.config.main.title', args=[entity.easy_npc.]}]
[08Jul2025 00:12:19.352] [Server thread/INFO] [Easy NPC/]: Opening menu c1b88569-a66e-4930-a021-503f41347a97 for npc b66482b1-7b7b-4ab7-b97e-c8855cc4adfa and player ServerPlayer['CesarDFA27'/9323, l='ServerLevel[world]', x=-1269.84, y=122.00, z=-336.00] with ConfigurationMenu.DEFAULT_POSITION[translation{key='text.easy_npc.config.default_position.title', args=[entity.easy_npc.]}]
[08Jul2025 00:12:23.497] [Server thread/INFO] [Easy NPC/]: Opening menu 5830ae5b-4248-4ced-b94a-a83fbdc0dd3c for npc b66482b1-7b7b-4ab7-b97e-c8855cc4adfa and player ServerPlayer['CesarDFA27'/9323, l='ServerLevel[world]', x=-1270.02, y=122.00, z=-336.84] with ConfigurationMenu.MAIN[translation{key='text.easy_npc.config.main.title', args=[entity.easy_npc.]}]
[08Jul2025 00:12:26.095] [Server thread/INFO] [Easy NPC/]: Opening menu 3f17fb18-7e90-4b86-8ecf-2cd9a4f8198b for npc b66482b1-7b7b-4ab7-b97e-c8855cc4adfa and player ServerPlayer['CesarDFA27'/9323, l='ServerLevel[world]', x=-1270.02, y=122.00, z=-336.84] with ConfigurationMenu.DEFAULT_ROTATION[translation{key='text.easy_npc.config.default_rotation.title', args=[entity.easy_npc.]}]
[08Jul2025 00:12:35.059] [Server thread/INFO] [Easy NPC/]: Opening menu fb72e050-ea08-4056-8b4e-5dbfa7ecf255 for npc b66482b1-7b7b-4ab7-b97e-c8855cc4adfa and player ServerPlayer['CesarDFA27'/9323, l='ServerLevel[world]', x=-1270.06, y=122.00, z=-336.50] with ConfigurationMenu.MAIN[translation{key='text.easy_npc.config.main.title', args=[entity.easy_npc.]}]
[08Jul2025 00:12:36.661] [Server thread/INFO] [Easy NPC/]: Opening menu d81f5a4b-d8ed-4f29-8cff-0938f76b7488 for npc b66482b1-7b7b-4ab7-b97e-c8855cc4adfa and player ServerPlayer['CesarDFA27'/9323, l='ServerLevel[world]', x=-1270.06, y=122.00, z=-336.50] with ConfigurationMenu.DEFAULT_ROTATION[translation{key='text.easy_npc.config.default_rotation.title', args=[entity.easy_npc.]}]
[08Jul2025 00:12:44.398] [Server thread/INFO] [Easy NPC/]: Opening menu eeac67c9-2b95-4373-8e02-b3381d943779 for npc b66482b1-7b7b-4ab7-b97e-c8855cc4adfa and player ServerPlayer['CesarDFA27'/9323, l='ServerLevel[world]', x=-1267.50, y=122.00, z=-338.66] with ConfigurationMenu.MAIN[translation{key='text.easy_npc.config.main.title', args=[entity.easy_npc.]}]
[08Jul2025 00:12:45.601] [Server thread/INFO] [Easy NPC/]: Opening menu eef0fe69-c0d6-4b1c-9c99-d8d4e81ad725 for npc b66482b1-7b7b-4ab7-b97e-c8855cc4adfa and player ServerPlayer['CesarDFA27'/9323, l='ServerLevel[world]', x=-1267.50, y=122.00, z=-338.65] with ConfigurationMenu.BASIC_OBJECTIVE[translation{key='text.easy_npc.config.basic_objective.title', args=[entity.easy_npc.]}]
[08Jul2025 00:12:47.748] [Server thread/INFO] [Easy NPC/]: Opening menu fadacf74-75a2-419c-8cef-a40fb9374523 for npc b66482b1-7b7b-4ab7-b97e-c8855cc4adfa and player ServerPlayer['CesarDFA27'/9323, l='ServerLevel[world]', x=-1267.50, y=122.00, z=-338.65] with ConfigurationMenu.MAIN[translation{key='text.easy_npc.config.main.title', args=[entity.easy_npc.]}]
[08Jul2025 00:12:49.150] [Server thread/INFO] [Easy NPC/]: Opening menu f55bde9c-d708-4a0a-85cc-b5c06078a321 for npc b66482b1-7b7b-4ab7-b97e-c8855cc4adfa and player ServerPlayer['CesarDFA27'/9323, l='ServerLevel[world]', x=-1267.50, y=122.00, z=-338.65] with ConfigurationMenu.DEFAULT_POSITION[translation{key='text.easy_npc.config.default_position.title', args=[entity.easy_npc.]}]
